borough,cuisine,grades,name,restaurant_id,building,street,zipcode
Queens,Chinese,10.0,New King Wah,41629960,2104,Newtown Avenue,11102.0
Manhattan,Continental,20.333333333333332,Doubletree Greenhouse 36,41630020,341,West   36 Street,10018.0
Bronx,Café/Coffee/Tea,10.75,Dunkin Donuts Baskin Robbins,41630060,2172,Westchester Avenue,10462.0
Queens,Donuts,8.6,Dunkin Donuts/Baskin Robbins,41630064,8347,Parsons Boulevard,11432.0
Manhattan,American ,15.8,Valbella Midtown,41630072,520,Madison Avenue,10022.0
Brooklyn,Café/Coffee/Tea,7.0,Ted & Honey At Building 92 (Brooklyn Navy Yard),41630083,63,Flushing Avenue,11205.0
Queens,Donuts,11.2,Dunkin Donuts,41630095,10227,Roosevelt Avenue,11368.0
Manhattan,Ethiopian,13.0,Ethio Restaurant,41630096,545,West  125 Street,10027.0
Brooklyn,Café/Coffee/Tea,8.25,Dunkin Donuts Baskin Robbins,41630103,13,Graham Avenue,11206.0
Queens,Chinese,19.0,Lucky Chinese Restaurant,41630104,5008,69 Street,11377.0
Manhattan,Jewish/Kosher,11.4,Golan Heights,41630109,2553,Amsterdam Avenue,10033.0
Queens,American ,6.5,Dunkin Donuts Baskin Robbins,41630124,4008,Bell Boulevard,11361.0
Queens,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.8,El Nuevo Triangulo Restaurant,41630137,7511,Rockaway Boulevard,11421.0
Manhattan,Jewish/Kosher,16.75,Pitopia,41630170,1369,Broadway,10018.0
Bronx,Pizza/Italian,17.166666666666668,Giovanni'S,41630191,80,West Fordham Road,10468.0
Queens,American ,4.666666666666667,Healthy Gourmet,41630202,0,Laguardia Airport,11369.0
Manhattan,American ,8.8,The Wren,41630209,344,Bowery,10012.0
Bronx,Delicatessen,8.857142857142858,Superking Gourmet Deli,41630283,3214,3 Avenue,10451.0
Manhattan,Chinese,15.166666666666666,Mee Noodle Shop & Grill,41630309,1643,2 Avenue,10028.0
Queens,Brazilian,8.75,Carioca Grill,41630338,2903,Broadway,11106.0
Queens,Café/Coffee/Tea,6.0,Love Street Coffee,41630348,32-30,Steinway Street,11103.0
