borough,cuisine,grades,name,restaurant_id,building,street,zipcode
Bronx,Bakery,8.2,Morris Park Bake Shop,30075445,1007,Morris Park Ave,10462.0
Brooklyn,Hamburgers,13.75,Wendy'S,30112340,469,Flatbush Avenue,11225.0
Manhattan,Irish,9.25,Dj Reynolds Pub And Restaurant,30191841,351,West   57 Street,10019.0
Brooklyn,American ,9.0,Riviera Caterer,40356018,2780,Stillwell Avenue,11224.0
Queens,Jewish/Kosher,17.75,Tov Kosher Kitchen,40356068,97-22,63 Road,11374.0
Queens,American ,17.0,Brunos On The Boulevard,40356151,8825,Astoria Boulevard,11369.0
Staten Island,Jewish/Kosher,10.5,Kosher Island,40356442,2206,Victory Boulevard,10314.0
Brooklyn,Delicatessen,10.0,Wilken'S Fine Food,40356483,7114,Avenue U,11234.0
Brooklyn,American ,9.6,Regina Caterers,40356649,6409,11 Avenue,11219.0
Brooklyn,"Ice Cream, Gelato, Yogurt, Ices",8.25,Taste The Tropics Ice Cream,40356731,1839,Nostrand Avenue,11226.0
Bronx,American ,6.0,Wild Asia,40357217,2300,Southern Boulevard,10460.0
Brooklyn,American ,3.5,C & C Catering Service,40357437,7715,18 Avenue,11214.0
Brooklyn,Chinese,27.6,May May Kitchen,40358429,1269,Sutter Avenue,11208.0
Manhattan,American ,3.25,1 East 66Th Street Kitchen,40359480,1,East   66 Street,10065.0
Brooklyn,Jewish/Kosher,11.8,Seuda Foods,40360045,705,Kings Highway,11223.0
Brooklyn,"Ice Cream, Gelato, Yogurt, Ices",8.6,Carvel Ice Cream,40360076,203,Church Avenue,11218.0
Queens,"Ice Cream, Gelato, Yogurt, Ices",10.666666666666666,Carvel Ice Cream,40361322,265-15,Hillside Avenue,11004.0
Brooklyn,Delicatessen,5.666666666666667,Nordic Delicacies,40361390,6909,3 Avenue,11209.0
Manhattan,American ,12.2,Glorious Food,40361521,522,East   74 Street,10021.0
Brooklyn,American ,9.25,The Movable Feast,40361606,284,Prospect Park West,11215.0
Queens,Delicatessen,9.5,Sal'S Deli,40361618,129-08,20 Avenue,11356.0
Manhattan,Delicatessen,9.25,Bully'S Deli,40361708,759,Broadway,10003.0
Queens,Delicatessen,7.5,Steve Chu'S Deli & Grocery,40361998,3406,10 Street,11106.0
Manhattan,Chicken,10.666666666666666,Harriet'S Kitchen,40362098,502,Amsterdam Avenue,10024.0
Manhattan,American ,16.75,P & S Deli Grocery,40362264,730,Columbus Avenue,10025.0
Manhattan,American ,7.75,Angelika Film Center,40362274,18,West Houston Street,10012.0
Brooklyn,Hamburgers,6.25,White Castle,40362344,531,Myrtle Avenue,11205.0
Queens,Chinese,9.125,Ho Mei Restaurant,40362432,103-05,37 Avenue,11368.0
Manhattan,Turkish,10.5,The Country Cafe,40362715,60,Wall Street,10005.0
Brooklyn,Caribbean,8.0,Shashemene Int'L Restaura,40362869,195,East   56 Street,11203.0
Manhattan,American ,11.0,Downtown Deli,40363021,107,Church Street,10007.0
Bronx,"Ice Cream, Gelato, Yogurt, Ices",9.0,Carvel Ice Cream,40363093,1006,East 233 Street,10466.0
Brooklyn,Donuts,9.5,Dunkin' Donuts,40363098,56,Court Street,11201.0
Brooklyn,American ,9.75,Mejlander & Mulgannon,40363117,7615,5 Avenue,11209.0
Manhattan,Bakery,8.2,Olive'S,40363151,120,Prince Street,10012.0
Bronx,Chinese,11.0,Happy Garden,40363289,1236,238 Spofford Ave,10474.0
Manhattan,American ,9.4,Cafe Metro,40363298,625,8 Avenue,10018.0
Queens,Delicatessen,12.833333333333334,Tony'S Deli,40363333,1069,Wyckoff Avenue,11385.0
Manhattan,Sandwiches/Salads/Mixed Buffet,4.6,Lexler Deli,40363426,405,Lexington Avenue,10174.0
Staten Island,Delicatessen,8.5,Bagels N Buns,40363427,2491,Victory Boulevard,10314.0
Queens,Bagels/Pretzels,19.166666666666668,Hot Bagels,40363565,7905,Metropolitan Avenue,11379.0
Queens,American ,6.5,Snack Time Grill,40363590,87-69,Lefferts Boulevard,11418.0
Manhattan,Continental,15.0,Lorenzo & Maria'S,40363630,1418,Third Avenue,10028.0
Manhattan,Pizza,5.333333333333333,Domino'S Pizza,40363644,464,3 Avenue,10016.0
Manhattan,American ,10.0,Berkely,40363685,437,Madison Avenue,10022.0
Brooklyn,American ,4.333333333333333,Sonny'S Heros,40363744,1031,East   92 Street,11236.0
Staten Island,"Ice Cream, Gelato, Yogurt, Ices",6.333333333333333,Carvel Ice Cream,40363834,1111,Hylan Boulevard,10305.0
Brooklyn,Chinese,10.0,Golden Pavillion,40363920,976,Rutland Road,11212.0
Manhattan,Pizza,13.25,Domino'S Pizza,40363945,148,West   72 Street,10023.0
Manhattan,American ,15.75,Spoon Bread Catering,40364179,364,West  110 Street,10025.0
Brooklyn,Jewish/Kosher,10.0,Kosher Bagel Hole,40364220,1423,Avenue J,11230.0
Queens,American ,15.0,Terminal Cafe/Yankee Clipper,40364262,0,Guardia Airport Parking,11371.0
Staten Island,Delicatessen,9.0,Plaza Bagels & Deli,40364286,73,New Dorp Plaza,10306.0
Bronx,Chinese,10.8,Happy Garden,40364296,277,East Kingsbridge Road,10458.0
Staten Island,Delicatessen,15.6,B & M Hot Bagel & Grocery,40364299,203,Giffords Lane,10308.0
Manhattan,Chicken,17.6,Texas Rotisserie,40364304,94,Fulton Street,10038.0
Brooklyn,Italian,10.25,Philadelhia Grille Express,40364305,10004,4 Avenue,11209.0
Brooklyn,Steak,10.0,Peter Luger Steakhouse,40364335,178,Broadway,11211.0
Manhattan,American ,13.5,Metropolitan Club,40364347,1,East   60 Street,10022.0
Manhattan,American ,12.4,Palm Restaurant,40364355,837,2 Avenue,10017.0
Manhattan,American ,12.0,21 Club,40364362,21,West   52 Street,10019.0
Bronx,American ,7.5,Manhem Club,40364363,658,Clarence Ave,10465.0
Manhattan,Italian,9.8,Isle Of Capri Resturant,40364373,1028,3 Avenue,10065.0
Manhattan,American ,16.0,Old Town Bar & Restaurant,40364389,45,East   18 Street,10003.0
Brooklyn,Polish,16.25,Polish National Home,40364404,261,Driggs Avenue,11222.0
Manhattan,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10.4,Seville Restaurant,40364439,62,Charles Street,10014.0
Manhattan,American ,11.25,Criminal Court Bldg Cafeteria,40364443,100,Centre Street,10013.0
Queens,German,16.8,Gottscheer Hall,40364449,657,Fairview Avenue,11385.0
Manhattan,American ,11.833333333333334,Nyac Main Dining Room,40364467,180,Central Park South,10019.0
Manhattan,American ,13.2,7B Bar,40364518,108,Avenue B,10009.0
Queens,Jewish/Kosher,12.333333333333334,Ben-Best Deli & Restaurant,40364529,96-40,Queens Boulevard,11374.0
Manhattan,American ,10.8,Cafe Atelier (Art Students League),40364531,215,West 57 Street,10019.0
Manhattan,Steak,7.4,Donohue'S Steak House,40364572,845,Lexington Avenue,10065.0
Manhattan,French,21.5,Tout Va Bien,40364576,311,West   51 Street,10019.0
Brooklyn,American ,7.0,Junior'S,40364581,386,Flatbush Avenue Extension,11201.0
Staten Island,American ,7.333333333333333,Great Kills Yacht Club,40364610,37,Mansion Ave,10308.0
Manhattan,Italian,19.0,Marchis Restaurant,40364668,251,East   31 Street,10016.0
Brooklyn,American ,17.0,Towne Cafe,40364681,2602,East   15 Street,11235.0
Manhattan,Continental,12.2,Dining Room,40364691,.1-A,East 77 St,10021.0
Manhattan,American ,11.8,Old Homestead,40364715,56,9 Avenue,10011.0
Queens,Pizza/Italian,10.25,New Park Pizzeria & Restaurant,40364744,156-71,Crossbay Boulevard,11414.0
Queens,American ,12.0,Douglaston Club,40364858,600,West Drive,11363.0
Manhattan,American ,8.0,Serendipity 3,40364863,225,East   60 Street,10022.0
Brooklyn,American ,12.25,Melody Lanes,40364889,461,37 Street,11232.0
Queens,Pizza,9.2,Rizzo'S Fine Pizza,40364920,30-13,Steinway Street,11103.0
Bronx,American ,12.8,The New Starling Athletic Club Of The Bronx,40364956,2222,Haviland Avenue,10462.0
Manhattan,American ,4.4,White Horse Tavern,40364958,567,Hudson Street,10014.0
Staten Island,Italian,7.75,Crystal Room,40365013,67,Olympia Boulevard,10305.0
Staten Island,American ,13.0,Labetti'S Post # 2159,40365022,390,Hylan Boulevard,10305.0
Brooklyn,American ,15.6,Shell Lanes,40365043,1,Bouck Court,11223.0
Manhattan,Irish,10.666666666666666,Mcsorley'S Old Ale House,40365075,15,East    7 Street,10003.0
Manhattan,Italian,11.0,Forlinis Restaurant,40365098,93,Baxter Street,10013.0
Staten Island,American ,9.333333333333334,South Shore Swimming Club,40365120,6736,Hylan Boulevard,10309.0
Manhattan,American ,8.25,Corner Bistro,40365166,331,West    4 Street,10014.0
Brooklyn,Donuts,11.5,Nostrand Donut Shop,40365226,1449,Nostrand Avenue,11226.0
Manhattan,Irish,6.25,Dorrian'S Red Hand Restaurant,40365239,1616,2 Avenue,10028.0
Manhattan,French,10.666666666666666,La Grenouille,40365264,3,East   52 Street,10022.0
Manhattan,Pizza,21.5,Como Pizza,40365280,4035,Broadway,10032.0
Manhattan,American ,9.8,Keats Restaurant,40365288,842,2 Avenue,10017.0
Manhattan,Italian,11.4,Angelo Of Mulberry St.,40365293,146,Mulberry Street,10013.0
Manhattan,Mexican,13.0,Panchito'S,40365348,103,Macdougal Street,10012.0
Brooklyn,Italian,10.4,New Corner,40365355,7201,8 Avenue,11228.0
Manhattan,American ,14.0,The Princeton Club,40365361,15,West   43 Street,10036.0
Manhattan,Italian,11.2,Arturo'S,40365387,106,West Houston Street,10012.0
Manhattan,French,14.4,Le Perigord,40365414,405,East   52 Street,10022.0
Manhattan,American ,20.285714285714285,Reynold'S Bar,40365423,4241,Broadway,10033.0
Staten Island,Pizza/Italian,11.0,Joe & Pat'S Pizzeria,40365454,1758,Victory Boulevard,10314.0
Manhattan,Spanish,11.4,Spain Restaurant & Bar,40365472,113,West   13 Street,10011.0
Brooklyn,American ,12.0,Palace Cafe,40365473,206,Nassau Avenue,11222.0
Bronx,American ,14.0,Yankee Tavern,40365499,72,East  161 Street,10451.0
Manhattan,Donuts,11.5,Donut Pub,40365525,203,West   14 Street,10011.0
Manhattan,Irish,11.25,Moran'S Chelsea,40365526,146,10 Avenue,10011.0
Brooklyn,American ,12.6,Reben Luncheonette,40365546,229,Havemeyer Street,11211.0
Manhattan,Italian,12.0,V & T Restaurant,40365577,1024,Amsterdam Avenue,10025.0
Queens,Chinese,14.666666666666666,King Yum Restaurant,40365592,181-08,Union Turnpike,11366.0
Queens,American ,10.5,Jahn'S Restaurant,40365627,8104,37 Avenue,11372.0
Brooklyn,Pizza,11.6,J&V Famous Pizza,40365632,6322,18 Avenue,11204.0
Manhattan,American ,18.857142857142858,La Parisienne Diner,40365633,910,Seventh Avenue,10019.0
Manhattan,American ,7.8,Joe Allen Restaurant,40365644,326,West 46 Street,10036.0
Staten Island,American ,14.333333333333334,Joyce'S Tavern,40365692,3823,Richmond Avenue,10312.0
Manhattan,Italian,20.5,Il Vagabondo Restaurant,40365709,351,East   62 Street,10065.0
Manhattan,Italian,10.0,Barbetta Restaurant,40365726,319321,323 W. 46Th St.,10036.0
Brooklyn,Italian,10.75,Gargiulo'S Restaurant,40365784,2911,West   15 Street,11224.0
Manhattan,Italian,10.25,Patsy'S Italian Restaurant,40365789,236,West   56 Street,10019.0
Queens,Italian,12.2,Parkside Restaurant,40365841,10701,Corona Avenue,11368.0
Queens,American ,8.8,Lavelle'S Admiral'S Club,40365844,45-15,Broadway,11103.0
Manhattan,American ,11.0,Neary'S Pub,40365871,358,East 57 Street,10022.0
Manhattan,Pizza,9.333333333333334,New York Pizza Suprema,40365882,413,8 Avenue,10001.0
Bronx,Irish,17.2,Mcdwyers Pub,40365893,331,East  204 Street,10467.0
Manhattan,Café/Coffee/Tea,11.428571428571429,Mee Sum Coffee Shop,40365904,26,Pell Street,10013.0
Queens,American ,13.8,Nancy'S Fire Side,40365938,25541,Jamaica Avenue,11001.0
Manhattan,Chinese,18.8,Hop Kee Restaurant,40365942,21,Mott Street,10013.0
Manhattan,American ,14.333333333333334,Nancy Whiskey Pub,40365968,1,Lispenard Street,10013.0
Queens,American ,10.4,Blarney Bar,40365972,146-09,Jamaica Avenue,11435.0
Queens,Pizza,11.6,Margherita Pizza,40366002,16304,Jamaica Avenue,11432.0
Queens,American ,10.2,Healy'S Pub,40366054,10807,Rockaway Beach Boulevard,11694.0
Brooklyn,American ,11.75,Fifth Avenue Bingo,40366109,416,5 Avenue,11215.0
Staten Island,Pizza/Italian,12.25,Denino'S Pizzeria Tavern,40366132,524,Port Richmond Avenue,10302.0
Brooklyn,Italian,11.666666666666666,Michael'S Restaurant,40366154,2929,Avenue R,11229.0
Manhattan,Italian,32.142857142857146,Nanni Restaurant,40366157,146,East   46 Street,10017.0
Queens,American ,15.4,Lenihan'S Saloon,40366162,119-09,Atlantic Avenue,11418.0
Queens,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",15.25,Emilio Iii Bar,40366214,4218,Junction Boulevard,11368.0
Manhattan,Irish,8.0,Killarney Rose,40366222,80,Beaver Street,10005.0
Queens,Italian,16.0,Don Peppe,40366230,13558,Lefferts Boulevard,11420.0
Queens,American ,13.0,Blarney Castle,40366356,202-24,Rockaway Point Boulevard,11697.0
Brooklyn,American ,13.2,Three Star Restaurant,40366361,1611,Avenue U,11229.0
Manhattan,Irish,8.666666666666666,Blarney Rock,40366379,137,West   33 Street,10001.0
Manhattan,American ,14.25,Dangerfield'S Night Club,40366381,1118,1 Avenue,10065.0
Manhattan,American ,11.25,Desmond'S Tavern,40366396,433,Park Avenue South,10016.0
Queens,Jewish/Kosher,12.8,Naomi Kosher Pizza,40366425,6828,Main Street,11367.0
Brooklyn,American ,10.8,Roll-N-Roaster,40366471,2901,Emmons Avenue,11235.0
Manhattan,Spanish,10.75,Tio Pepe,40366473,168,West    4 Street,10014.0
Brooklyn,American ,9.2,Brennan & Carr,40366487,3432,Nostrand Avenue,11229.0
Bronx,American ,16.0,The Punch Bowl,40366497,5820,Broadway,10463.0
Queens,Chinese,17.428571428571427,Jardin De China Rest,40366543,37-37,Junction Boulevard,11368.0
Queens,Irish,15.6,Irish Cottage,40366549,108-07,72 Avenue,11375.0
Manhattan,Irish,14.285714285714286,Blarney Stone,40366574,11,Trinity Place,10006.0
Queens,Jewish/Kosher,11.6,Shimons Kosher Pizza,40366586,71-24,Main Street,11367.0
Manhattan,American ,9.5,The Riviera Cafe,40366643,225,West    4 Street,10014.0
Brooklyn,Pizza/Italian,11.0,Fascati'S Pizzeria,40366652,80,Henry Street,11201.0
Manhattan,Tex-Mex,10.666666666666666,Baby Bo'S Burritos,40366661,627,2 Avenue,10016.0
Staten Island,American ,17.0,Li Greci'S Staaten Restaurant,40366711,697,Forest Avenue,10310.0
Manhattan,Chinese,8.75,Shun Lee Palace Restaurant,40366716,155,East   55 Street,10022.0
Brooklyn,American ,10.25,Tamaqua,40366742,84,Ebony Court,11229.0
Bronx,American ,14.833333333333334,Munchtime,40366748,21,East  170 Street,10452.0
Queens,Italian,11.2,Cara Mia,40366812,220-20,Hillside Avenue,11427.0
Bronx,Pancakes/Waffles,11.166666666666666,Ihop,40366833,4340,Boston Road,10475.0
Queens,American ,11.0,Maloney'S Bar,40366857,8769,Sutphin Boulevard,11435.0
Queens,Spanish,11.571428571428571,La Fusta Restaurant,40366879,80-32,Baxter Avenue,11373.0
Staten Island,American ,14.2,Richmond County Country Club,40366928,135,Flagg Place,10304.0
Queens,American ,9.166666666666666,Little Brown Jug,40366929,12402,Jamaica Avenue,11418.0
Bronx,Café/Coffee/Tea,11.6,Lulu'S Coffee Shop,40366938,1191,Castle Hill Avenue,10462.0
Brooklyn,Soul Food,11.4,Mitchell'S Restaurant,40366961,617,Vanderbilt Avenue,11238.0
Manhattan,Spanish,6.666666666666667,El Charro Espanol,40366987,4,Charles Street,10014.0
Manhattan,American ,9.25,Finnegan'S Wake,40366993,1361,First Avenue,10021.0
Brooklyn,Pizza/Italian,11.8,Da Vinci Pizza,40367005,6514,18 Avenue,11204.0
Manhattan,Mexican,6.75,Mexico Lindo Restaurant,40367038,459,2 Avenue,10010.0
Bronx,American ,9.0,Marina Delray,40367161,2894,Schurz Ave,10465.0
Brooklyn,American ,15.428571428571429,New Floridian Diner,40367164,2301,Flatbush Avenue,11234.0
Manhattan,Irish,10.8,Twins Pub,40367179,421,9 Avenue,10001.0
Brooklyn,American ,7.75,Narrows Coffee Shop,40367183,10001,4 Avenue,11209.0
Manhattan,American ,10.25,Broome Street Bar,40367189,363,West Broadway,10013.0
Queens,Irish,9.4,O'Hanlon'S Pub,40367232,22-57,31 Street,11105.0
Queens,American ,6.75,Charlies Sports Bar,40367240,4408,60Th St. - Store,11377.0
Manhattan,American ,13.75,Jg Melon Restaurant,40367241,1291,3 Avenue,10021.0
Queens,Pizza/Italian,15.0,Jack'S Pizza & Pasta,40367278,21249,26 Avenue,11360.0
Manhattan,American ,13.666666666666666,Emerald Pub,40367329,308,Spring Street,10013.0
Manhattan,American ,7.333333333333333,Tap Room,40367338,180,Central Park South,10019.0
Manhattan,American ,12.4,Cocktail Room (Nyac),40367339,180,Central Park South,10019.0
Manhattan,American ,8.2,Flame Restaurant Coffee House,40367365,893,9 Avenue,10019.0
Manhattan,American ,9.25,Jackson Hole,40367373,232,East   64 Street,10065.0
Queens,German,12.833333333333334,Zum Stammtisch,40367377,6946,Myrtle Avenue,11385.0
Manhattan,Italian,7.0,John'S Restaurant,40367407,302,East 12 Street,10003.0
Manhattan,American ,13.0,Grassroot Tavern,40367420,20,St Marks Place,10003.0
Staten Island,American ,15.25,Buddy'S Wonder Bar,40367442,17,Harrison Avenue,10302.0
Queens,American ,8.2,The Assembly Bar,40367481,7302,Cooper Avenue,11385.0
Manhattan,Jewish/Kosher,15.333333333333334,Mr Broadway Kosher Restaurant,40367534,1372,Broadway,10018.0
Queens,Italian,16.333333333333332,Piccola Venezia,40367540,42-01,28 Avenue,11103.0
Manhattan,Spanish,13.333333333333334,Malaga Restaurant,40367544,406,East 73 Street,10021.0
Staten Island,Italian,9.0,Ni-Ni'S Cafe,40367570,710,New Dorp Lane,10306.0
Manhattan,American ,10.5,Capitol Restaurant,40367677,4933,Broadway,10034.0
Manhattan,French,9.666666666666666,La Bonne Soupe Bistro,40367715,48,West   55 Street,10019.0
Manhattan,Italian,9.0,Mimis Restaurant & Bar,40367728,984,Second Avenue,10022.0
Queens,Seafood,11.6,Lenny'S Clam Bar,40367749,16103,Crossbay Boulevard,11414.0
Manhattan,American ,7.5,Griffis Faculty Club,40367752,521,East   68 Street,10065.0
Manhattan,Hotdogs,11.333333333333334,Gray'S Papaya,40367766,2080,Broadway,10023.0
Queens,Pizza,8.4,Dani Pizza And Restaurant,40367789,81-28,Lefferts Boulevard,11415.0
Brooklyn,Hamburgers,9.4,Mcdonald'S,40367790,943,Flatbush Avenue,11226.0
Brooklyn,Greek,7.6,El Greco Diner,40367795,1821,Emmons Avenue,11235.0
Manhattan,Seafood,11.4,One If By Land Two If By Sea,40367797,17,Barrow Street,10014.0
Queens,Hamburgers,8.4,Mcdonald'S,40367829,75-50,101 Avenue,11416.0
Manhattan,Italian,6.8,Fiorellos,40367841,1900,Broadway,10023.0
Brooklyn,Pizza/Italian,15.0,Lb Spumoni Gardens,40367860,2725,86 Street,11223.0
Queens,Pizza/Italian,10.666666666666666,Amore Pizzeria & Restaurant,40367870,30-27,Stratton Street,11354.0
Bronx,Not Listed/Not Applicable,4.75,The Lark'S Nest,40367946,4280,Katonah Ave,10470.0
Bronx,Café/Coffee/Tea,8.333333333333334,Terrace Cafe,40368018,2300,Southern Boulevard,10460.0
Bronx,African,3.5,African Terrace,40368021,2300,Southern Boulevard,10460.0
Bronx,American ,7.5,Cool Zone,40368022,2300,Southern Boulevard,10460.0
Bronx,American ,5.75,Beaver Pond,40368025,2300,Southern Boulevard,10460.0
Bronx,American ,5.25,African Market (Baboon Cafe),40368026,2300,Southern Boulevard,10460.0
Staten Island,Italian,7.25,Roadhouse Restaurant,40368034,1402,Clove Road,10301.0
Manhattan,American ,11.0,Ford Foundation Cafeteria,40368065,320,East 43 Street,10017.0
Manhattan,American ,12.0,Elephant & Castle,40368157,68,Greenwich Avenue,10011.0
Brooklyn,Jewish/Kosher,6.75,Mill Basin Kosher Deli,40368207,5823,Avenue T,11234.0
Manhattan,Seafood,15.0,Oyster Bar,40368223,,Grand Central Terminal,10017.0
Manhattan,American ,18.333333333333332,Cherry Tavern,40368271,441,East    6 Street,10009.0
Staten Island,American ,10.4,Colonnade Diner,40368291,2001,Hylan Boulevard,10306.0
Manhattan,American ,10.25,Red Flame Diner,40368313,67,West   44 Street,10036.0
Manhattan,American ,11.5,Maggies Place,40368318,21,East   47 Street,10017.0
Manhattan,American ,11.333333333333334,Brady'S Bar,40368338,1583,2 Avenue,10028.0
Manhattan,Italian,11.2,Da Silvano Restaurant,40368346,260,6 Avenue,10014.0
Manhattan,American ,12.833333333333334,Benjamin,40368370,603,2 Avenue,10016.0
Manhattan,American ,14.0,Jimmy'S Corner,40368374,140,West   44 Street,10036.0
Brooklyn,Italian,10.8,Frost Restaurant,40368526,193,Frost Street,11211.0
Manhattan,Steak,10.4,Sammy'S Steakhouse,40368552,155157,Christie St.,10002.0
Manhattan,Italian,10.2,Il Cortile Restaurant,40368555,123,Mulberry Street,10013.0
Brooklyn,American ,10.25,Denny'S Pub,40368577,106,Beverly Road,11218.0
Manhattan,American ,17.2,Maries Crisis Cafe,40368581,59,Grove Street,10014.0
Manhattan,American ,8.8,Boots & Saddle Bar,40368617,76,Christopher Street,10014.0
Brooklyn,American ,10.333333333333334,New Parkway Restaurant,40368632,7504,13 Avenue,11228.0
Manhattan,Spanish,13.0,Cafe Riazor,40368725,245,West   16 Street,10011.0
Manhattan,French,9.6,Raouls,40368752,180,Prince Street,10012.0
Manhattan,American ,11.2,The Brook,40368763,111,East   54 Street,10022.0
Queens,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",15.4,Marbella Restaurant,40368801,22033,Northern Boulevard,11361.0
Queens,American ,7.2,P.J.' S,40368809,18925,Union Turnpike,11366.0
Manhattan,Japanese,10.4,Hatsuhana Restaurant,40368897,17,East   48 Street,10017.0
Manhattan,French,13.333333333333334,La Mangeoire,40368971,1008,2 Avenue,10022.0
Queens,Pizza/Italian,10.833333333333334,Valentino'S Pizza,40369012,7147,Kissena Boulevard,11367.0
Manhattan,Greek,11.857142857142858,Viand Coffee Shop,40369016,673,Madison Avenue,10065.0
Manhattan,American ,7.75,Palm Too,40369017,840,2 Avenue,10017.0
Queens,Café/Coffee/Tea,10.75,Steve'S Coffee Shop,40369051,403416,2Nd St,11358.0
Bronx,American ,9.625,Blue Bay Restaurant,40369087,3533,Johnson Avenue,10463.0
Manhattan,Japanese,9.4,Nada-Sushi,40369097,135,East   50 Street,10022.0
Brooklyn,American ,11.166666666666666,The Hytes Bar,40369111,1082,St Johns Place,11213.0
Manhattan,French,6.333333333333333,Pergola Des Artistes,40369139,252,West   46 Street,10036.0
Staten Island,American ,9.666666666666666,Jody'S Club,40369158,372,Forest Avenue,10301.0
Manhattan,American ,13.0,Reif'S Tavern,40369165,302,East 92 Street,10128.0
Queens,American ,15.6,Whitestone Lanes,40369213,3005,Whitestone Expressway,11354.0
Queens,Pizza,9.666666666666666,John'S Pizzeria,40369262,8502,Grand Avenue,11373.0
Bronx,Seafood,13.6,Seashore Restaurant,40369299,591,City Island Ave,10464.0
Manhattan,American ,11.571428571428571,White Horse Tavern,40369400,25,Bridge Street,10004.0
Manhattan,Café/Coffee/Tea,10.6,Caffe Reggio,40369418,119,Mac Dougal Street,10012.0
Manhattan,French,18.857142857142858,Cafe Un Deux Trois,40369461,123,West   44 Street,10036.0
Brooklyn,Pizza,15.0,Armando'S Pizza,40369482,1366,Pennsylvania Avenue,11239.0
Manhattan,Japanese,12.8,Dan Tempura,40369495,2018,Broadway,10023.0
Manhattan,American ,12.6,Knickerbocker Bar & Grill,40369521,33,University Place,10003.0
Brooklyn,Hamburgers,8.0,Mcdonald'S,40369535,395,Flatbush Avenue Extension,11201.0
Manhattan,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",15.25,El Pote Espanol,40369580,718,2 Avenue,10016.0
Brooklyn,Café/Coffee/Tea,7.75,Cafe Capri,40369597,427,Graham Avenue,11211.0
Bronx,American ,15.75,Bronx Grill,40369601,2375,East Tremont Avenue,10462.0
Brooklyn,American ,9.0,The River Cafe,40369608,1,Water Street,11201.0
Manhattan,American ,9.25,Mudville Saloon,40369619,126,Chambers Street,10007.0
Bronx,Seafood,12.0,Johnny'S Reef Restaurant,40369641,2,City Island Ave,10464.0
Brooklyn,Hamburgers,8.75,White Castle,40369667,846,Empire Boulevard,11213.0
Bronx,Hamburgers,7.0,White Castle,40369669,2701,Boston Post Road,10467.0
Queens,Hamburgers,8.0,White Castle,40369675,43-02,Queens Boulevard,11104.0
Brooklyn,Hamburgers,7.0,White Castle,40369676,4202,Ft Hamilton Parkway,11219.0
Brooklyn,Italian,9.0,Ferdinando'S Restaurant,40369716,151,Union Street,11231.0
Queens,Hamburgers,15.0,Mcdonald'S,40369724,106-15,71 Avenue,11375.0
Manhattan,American ,16.4,Viand Cafe,40369753,1011,Madison Avenue,10075.0
Manhattan,American ,10.428571428571429,Nectar Coffee Shop,40369759,1022,Madison Avenue,10075.0
Manhattan,American ,12.666666666666666,The Cupping Room,40369775,359,West Broadway,10013.0
Brooklyn,Hamburgers,9.666666666666666,Mcdonald'S,40369782,701,Utica Avenue,11203.0
Manhattan,American ,9.8,Pete'S Tavern,40369810,129,East   18 Street,10003.0
Queens,Pizza/Italian,11.833333333333334,Gino'S Pizzeria,40369849,61-32,Springfield Boulevard,11364.0
Manhattan,Irish,8.4,Jim Brady'S Restaurant,40369869,75,Maiden Lane,10038.0
Manhattan,Italian,11.0,Villa Mosconi Restaurant,40369878,69,Macdougal Street,10012.0
Bronx,American ,14.5,P & K'S Grill,40369895,170,West  231 Street,10463.0
Bronx,Hamburgers,7.5,Mcdonald'S,40369915,576581,Broadway,10463.0
Manhattan,American ,11.333333333333334,Reme Restaurant,40369928,4021,Broadway,10032.0
Manhattan,American ,8.4,The New Amity Restaurant,40369940,1134,Madison Avenue,10028.0
Manhattan,Italian,17.6,Volare Restaurant,40369954,147,West Fourth Street,10012.0
Manhattan,Steak,10.75,Sparks Steak House,40369958,210,East   46 Street,10017.0
Queens,American ,13.6,The Dart Inn,40369983,83-18,Parsons Boulevard,11432.0
Brooklyn,Italian,13.8,Bamonte'S Restaurant,40370015,32,Withers Street,11211.0
Queens,Pizza,11.666666666666666,Pizza Town,40370091,1827,College Point Boulevard,11356.0
Manhattan,Hamburgers,6.25,Mcdonald'S,40370146,427,10 Avenue,10001.0
Bronx,American ,11.5,John Mulligan'S Fireside Pub,40370150,4272,Katonah Avenue,10470.0
Queens,Hamburgers,9.4,Burger King,40370167,22210,Northern Boulevard,11361.0
Manhattan,American ,11.8,Ear Inn,40370168,326,Spring Street,10013.0
Queens,Hamburgers,11.2,Burger King,40370238,6815,Northern Boulevard,11377.0
Queens,Hamburgers,9.2,Burger King,40370239,14474,Northern Boulevard,11354.0
Manhattan,Indian,6.25,Mughlai Restaurant,40370243,320,Columbus Avenue,10023.0
Brooklyn,American ,12.0,Greenpoint Tavern,40370342,188,Bedford Avenue,11249.0
Staten Island,Hamburgers,13.75,Mcdonald'S,40370356,3267,Richmond Avenue,10312.0
Brooklyn,Pizza/Italian,13.4,Tony'S Pizzeria,40370425,336,Knickerbocker Avenue,11237.0
Manhattan,Italian,13.666666666666666,Rossini'S,40370436,108,East   38 Street,10016.0
Queens,American ,9.6,Pat'S Stationary,40370449,49-20,30 Avenue,11377.0
